index,starting_county,ending_county
917,Tipton County,Haywood County
918,Madison County,Madison County
919,Fayette County,Fayette County
920,Obion County,Obion County
921,Madison County,Henderson County
922,McNairy County,McNairy County
923,Crockett County,Crockett County
924,Gibson County,Gibson County
925,Carroll County,Carroll County
926,Dyer County,Dyer County
927,Dyer County,Gibson County
928,Madison County,
929,McNairy County,McNairy County
930,Haywood County,Haywood County
931,Madison County,Madison County
932,Weakley County,
933,Crockett County,Crockett County
934,Dyer County,
935,Crockett County,
936,Dyer County,Dyer County
937,Crockett County,Crockett County
938,Chester County,Chester County
939,Lauderdale County,Lauderdale County
940,Henderson County,Henderson County
941,McNairy County,McNairy County
942,Dyer County,Dyer County
943,Dyer County,Dyer County
944,Crockett County,Crockett County
945,Gibson County,Gibson County
946,McNairy County,McNairy County
947,McNairy County,Hardin County
948,Fayette County,Fayette County
949,Lauderdale County,Lauderdale County
950,Crockett County,Crockett County
951,Hardeman County,Madison County
952,Madison County,Madison County
953,Hardeman County,Hardeman County
954,Carroll County,Carroll County
955,Lake County,Lake County
956,Lake County,Lake County
957,Chester County,Chester County
958,Hardeman County,Hardeman County
959,Gibson County,
960,Hardeman County,
961,Crockett County,Crockett County
962,Carroll County,
963,Weakley County,
964,Lake County,
965,Carroll County,Carroll County
966,Dyer County,
967,Lauderdale County,
968,Madison County,Madison County
969,Carroll County,Carroll County
970,Madison County,Madison County
971,Gibson County,Dyer County
972,Dyer County,
973,Dyer County,Dyer County
974,Gibson County,
975,Dyer County,Dyer County
976,Carroll County,
977,Carroll County,
978,Hardeman County,Henderson County
979,Dyer County,Dyer County
980,Gibson County,Gibson County
981,Haywood County,Haywood County
982,Dyer County,Dyer County
983,Weakley County,Weakley County
984,Chester County,Henderson County
985,Chester County,Chester County
986,Dyer County,
987,Lauderdale County,
988,Madison County,Madison County
989,Dyer County,Gibson County
990,Gibson County,Gibson County
991,Dyer County,Dyer County
992,Chester County,Chester County
993,Weakley County,
994,Dyer County,Dyer County
995,Haywood County,
996,Henderson County,
997,Madison County,
998,Weakley County,
999,Crockett County,Crockett County
1000,Obion County,Obion County
1001,Fayette County,
1002,Lauderdale County,Dyer County
1003,Gibson County,
1004,Weakley County,
1005,Weakley County,Weakley County
1006,Henderson County,Henderson County
1007,Madison County,Henderson County
1008,Madison County,Henderson County
1009,Obion County,Hickman County
1010,Carroll County,Carroll County
1011,Obion County,
1012,Weakley County,
1013,McNairy County,McNairy County
1014,Gibson County,Gibson County
1015,Madison County,Madison County
1016,Madison County,
1017,Gibson County,Gibson County
1018,Henderson County,
1019,McNairy County,McNairy County
1020,Lauderdale County,
1021,Dyer County,
1022,Madison County,
1023,Weakley County,
1024,Weakley County,
1025,McNairy County,
1026,Madison County,
1027,Tipton County,
1028,McNairy County,
1029,Gibson County,
1030,Gibson County,
1031,Gibson County,
1032,Weakley County,Weakley County
1033,Fayette County,Fayette County
1034,Madison County,Madison County
1035,Lauderdale County,
1036,McNairy County,Hardin County
1037,Lauderdale County,Lauderdale County
1038,Fayette County,
1039,Graves County,Graves County
1040,Tipton County,Mississippi County
1041,Shelby County,Shelby County
1042,Tipton County,
1043,Tipton County,Tipton County
1044,Tipton County,
1045,Lauderdale County,Lauderdale County
1046,Tipton County,Tipton County
1047,Shelby County,
1048,Tipton County,
1049,Lauderdale County,Lauderdale County
1050,Shelby County,
1051,New Madrid County,
1052,Shelby County,
1053,Shelby County,Shelby County
1054,Shelby County,Lauderdale County
1055,Shelby County,Shelby County
1056,Shelby County,
1057,Shelby County,
1058,Tipton County,
1059,Shelby County,
1060,Shelby County,
1061,Shelby County,
1062,Shelby County,
1063,Shelby County,
1064,Shelby County,Shelby County
1065,Lauderdale County,
1066,Tipton County,
1067,Shelby County,
1068,Shelby County,Shelby County
1069,Crittenden County,Crittenden County
1070,Shelby County,
1071,Shelby County,
1072,Shelby County,Tipton County
1073,Shelby County,
1074,Shelby County,Shelby County
1075,Shelby County,Fayette County
1076,Shelby County,Shelby County
1077,Shelby County,
1078,Shelby County,
1079,Dyer County,Dyer County
1080,Shelby County,
1081,Shelby County,Tipton County
1082,Tipton County,Tipton County
1083,Lauderdale County,
1084,Shelby County,
1085,Shelby County,
1086,Shelby County,
1087,Shelby County,
1088,Tipton County,Lauderdale County
1089,Dyer County,Pemiscot County
1090,Lauderdale County,
1091,Shelby County,
1092,Shelby County,
1093,Shelby County,
1094,Shelby County,
1095,Shelby County,Shelby County
